              t                       Ixx                      Iyy                      Izz           
    4.019999814603917e+00     4.179941252584548e+44     4.179941332580514e+44     4.296236349461891e+44
    4.029997175605920e+00     4.169523134095146e+44     4.169523214393827e+44     4.293271119981866e+44
    4.039998684038720e+00     4.159118453767508e+44     4.159118534417132e+44     4.290344603738340e+44
    4.049998704300287e+00     4.148732344103370e+44     4.148732425126702e+44     4.287459926713200e+44
    4.059999644250493e+00     4.138362003657889e+44     4.138362084428268e+44     4.284615975621477e+44
    4.069997614701491e+00     4.128012532713545e+44     4.128012613856615e+44     4.281812029250952e+44
    4.079998624920171e+00     4.117678612278174e+44     4.117678693360662e+44     4.279044700612428e+44
    4.089999690574732e+00     4.107364469009308e+44     4.107364550067807e+44     4.276312204106111e+44
    4.099998681735040e+00     4.097074210066437e+44     4.097074292052058e+44     4.273612003467790e+44
    4.109998040116547e+00     4.086806991071054e+44     4.086807073253417e+44     4.270940557856436e+44
    4.119997738480924e+00     4.076564521407238e+44     4.076564603841496e+44     4.268295068435277e+44
    4.129998156159659e+00     4.066348383644090e+44     4.066348466607399e+44     4.265672765009651e+44
    4.139999700865253e+00     4.056159742178255e+44     4.056159825703120e+44     4.263071496367967e+44
    4.149998028357587e+00     4.046004252604174e+44     4.046004336364461e+44     4.260490746888157e+44
    4.159997910154218e+00     4.035877976395578e+44     4.035878060189347e+44     4.257928367666785e+44
    4.169999981840752e+00     4.025780707321116e+44     4.025780791584453e+44     4.255384223506394e+44
    4.179996856304234e+00     4.015719327027927e+44     4.015719411470765e+44     4.252862336188991e+44
    4.189998740843834e+00     4.005682554710707e+44     4.005682639451723e+44     4.250363124114269e+44
    4.199997192223465e+00     3.995679070248211e+44     3.995679156097752e+44     4.247889240111762e+44
    4.209997589572769e+00     3.985705644506687e+44     3.985705730111179e+44     4.245436613194694e+44
    4.219997170874754e+00     3.975768096709152e+44     3.975768182929297e+44     4.243000943467422e+44
    4.229996701218768e+00     3.965868338998378e+44     3.965868425894318e+44     4.240577681517853e+44
    4.239998548879777e+00     3.956006438664932e+44     3.956006525505282e+44     4.238162658826197e+44
    4.249999168205714e+00     3.946187575207846e+44     3.946187662871362e+44     4.235754490671314e+44
    4.259998690978054e+00     3.936412917521289e+44     3.936413005458864e+44     4.233351296130553e+44
    4.269998205579997e+00     3.926682622126521e+44     3.926682709782744e+44     4.230950927881352e+44
    4.279998651042826e+00     3.916997301740184e+44     3.916997389875186e+44     4.228551141172714e+44
    4.289998978747942e+00     3.907358868392906e+44     3.907358956526431e+44     4.226150720832496e+44
    4.299998595771288e+00     3.897768333748653e+44     3.897768422283527e+44     4.223749127577884e+44
    4.309997923590052e+00     3.888225365413895e+44     3.888225454528441e+44     4.221345475280868e+44
    4.319997323527441e+00     3.878728245303701e+44     3.878728334066762e+44     4.218935210279775e+44
    4.329996874778776e+00     3.869255586837220e+44     3.869255676380179e+44     4.216476602136521e+44
    4.339999695690368e+00     3.859808414421134e+44     3.859808504076425e+44     4.213976044853122e+44
    4.349998608364036e+00     3.850404020203105e+44     3.850404109782019e+44     4.211453653070170e+44
    4.359996701170947e+00     3.841046302183391e+44     3.841046391917707e+44     4.208917241962248e+44
    4.369999067413263e+00     3.831734754925889e+44     3.831734844754056e+44     4.206366009906610e+44
    4.379997981272273e+00     3.822479053550281e+44     3.822479144161689e+44     4.203798690044316e+44
    4.389998226584207e+00     3.813275500238283e+44     3.813275591220132e+44     4.201210468053162e+44
    4.399998028972478e+00     3.804125799893194e+44     3.804125890082181e+44     4.198598365412199e+44
    4.409998004477283e+00     3.795029474955165e+44     3.795029566171389e+44     4.195958951492803e+44
    4.419997659358104e+00     3.785987446358491e+44     3.785987537094507e+44     4.193289397454850e+44
    4.429997017938359e+00     3.777000298032854e+44     3.777000389393799e+44     4.190587268913002e+44
    4.439996718619647e+00     3.768068038481048e+44     3.768068129758824e+44     4.187850728565034e+44
