t,BToroidal_v_avg
6.750,     1.562519995612883e+17
6.800,     1.589933645940051e+17
6.850,     1.615600969137286e+17
6.900,     1.639459978293659e+17
6.950,     1.661444351589222e+17
7.000,     1.681495017713412e+17
7.050,     1.699565890676177e+17
7.100,     1.715687649822694e+17
7.150,     1.729979142251578e+17
7.200,     1.742622255639694e+17
7.250,     1.753796254370914e+17
7.300,     1.763638166041973e+17
7.350,     1.772158794301483e+17
7.400,     1.779162534023189e+17
7.450,     1.784305453447408e+17
7.500,     1.787197419388968e+17
7.550,     1.787471926734020e+17
7.600,     1.784842029580322e+17
7.650,     1.779134856490667e+17
7.700,     1.770288214304782e+17
7.750,     1.758348387476722e+17
7.800,     1.743418876729211e+17
7.850,     1.725607522952417e+17
7.900,     1.705006410617023e+17
7.950,     1.681689513541308e+17
8.000,     1.655725005950033e+17
8.050,     1.627171229504022e+17
8.100,     1.596038376511140e+17
8.150,     1.562248321054137e+17
8.200,     1.525722052220076e+17
8.250,     1.486442486171288e+17
8.300,     1.444486768901827e+17
8.350,     1.400006648524883e+17
8.400,     1.353118663722819e+17
8.450,     1.303795733767363e+17
8.500,     1.251913127471029e+17
8.550,     1.197433255588668e+17
8.600,     1.140389967233923e+17
8.650,     1.080862036960587e+17
8.700,     1.019018910807372e+17
8.750,     9.551528508205877e+16
8.800,     8.899588608691859e+16
8.850,     8.247983585241067e+16
8.900,     7.613050706120370e+16
8.950,     7.009928872346388e+16
9.000,     6.452924422388695e+16
9.050,     5.957523015088010e+16
9.100,     5.542888838695018e+16
9.150,     5.233517443320332e+16
9.200,     5.050680602615828e+16
9.250,     5.000880161774163e+16
9.300,     5.072187889366216e+16
9.350,     5.245355034186682e+16
9.400,     5.504782509757222e+16
9.450,     5.835291228577167e+16
9.500,     6.216495597570591e+16
9.550,     6.624345610305129e+16
9.600,     7.036082112960310e+16
9.650,     7.438077472799680e+16
9.700,     7.827892241991042e+16
9.750,     8.210967844318541e+16
9.800,     8.596519021377651e+16
9.850,     8.992857340843621e+16
9.900,     9.402305514062954e+16
9.950,     9.820092518896221e+16
10.000,     1.023646245319903e+17
